Meter_ID,Dwelling_Type,Num_Occupants,House_Area_sqft,Connected_Load_kW,Meter_Age_Years,Date,Temperature_C,Humidity_pct,Grid_Outage_Hours,Appliance_Score,Anomaly_Type,Meter_Bypass_Signal,Has_Solar_Panel,Voltage_V,Power_Factor,Expected_Energy_kWh,Actual_Energy_kWh,Peak_Hour_Usage_kWh,Off_Peak_Usage_kWh
IN-KL-ELC-80473566,Apartment,8,3111,12.96,8,28-12-2023,24.37,64.36,0.0,21.0,4,0,0,224.96,0.71,33.07 kWh,191.55 kWh,119.04 kWh,56.66 kWh
IN-KL-ELC-16501416,Apartment,3,2802,8.32,8,21-11-2022,26.61,58.8,0.0,4.0,2,0,1,236.14,0.81,42.17 kWh,71.57 kWh,43.74 kWh,17.43 kWh
IN-KL-ELC-36276199,Apartment,2,3172,9.06,9,03-07-2022,28.74,82.52,7.55,5.0,1,1,0,220.05,0.75,38.09 kWh,116.42 kWh,67.71 kWh,42.05 kWh
IN-KL-ELC-75536400,Villa,5,3637,10.52,12,21-11-2023,26.14,68.06,0.0,9.0,2,0,1,217.85,0.84,18.21 kWh,36.47 kWh,20.69 kWh,8.73 kWh
IN-KL-ELC-34191368,Apartment,7,3184,12.93,17,21-07-2023,24.3,79.41,0.0,3.0,4,0,0,216.08,0.69,33.49 kWh,117.60 kWh,62.14 kWh,37.86 kWh
IN-KL-ELC-45435124,Independent House,6,4667,13.93,9,16-07-2022,27.5,84.18,2.45,13.0,2,0,0,226.5,0.81,36.90 kWh,,50.26 kWh,22.08 kWh
IN-KL-ELC-12423408,Apartment,2,4384,13.63,4,08-02-2023,24.26,49.51,0.0,17.0,3,0,1,222.61,0.92,-20.39 kWh,52.77 kWh,30.84 kWh,17.51 kWh
IN-KL-ELC-55519128,Apartment,5,4021,12.84,3,02-01-2022,26.28,62.07,0.0,8.0,0,0,0,236.12,0.8,29.10 kWh,36.53 kWh,20.35 kWh,11.59 kWh
IN-KL-ELC-10016389,Apartment,8,782,3.26,10,04-09-2023,28.23,89.88,0.0,6.0,0,0,1,231.31,0.8,-52.10 kWh,1.48 kWh,0.97 kWh,0.0 kWh
IN-KL-ELC-19391451,Independent House,6,443,2.74,6,03-08-2022,27.44,75.7,1.24,14.0,0,0,0,229.61,0.91,59.33 kWh,124.90 kWh,67.16 kWh,36.59 kWh
IN-KL-ELC-13288286,Commercial,6,4865,13.3,13,22-11-2023,28.05,60.53,0.0,5.0,1,1,0,230.21,0.7,13.04 kWh,214.07 kWh,116.90 kWh,64.42 kWh
IN-KL-ELC-41844756,Villa,3,3009,6.88,17,04-09-2023,24.6,94.15,5.31,18.0,3,0,1,222.01,0.77,12.86 kWh,34.39 kWh,21.45 kWh,9.61 kWh
IN-KL-ELC-95373044,Independent House,2,2281,5.99,7,02-01-2022,23.4,61.91,0.0,9.0,2,0,0,211.93,0.71,16.89 kWh,28.67 kWh,15.39 kWh,8.81 kWh
IN-KL-ELC-77134456,Commercial,6,3668,11.58,17,27-05-2022,35.38,79.76,0.0,21.0,1,1,0,224.64,0.7,35.49 kWh,159.62 kWh,86.23 kWh,50.85 kWh
IN-KL-ELC-88785936,Independent House,1,4690,11.8,14,29-03-2022,37.68,77.23,1.98,11.0,0,0,1,225.56,0.9,33.53 kWh,74.95 kWh,44.27 kWh,19.12 kWh
